duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,root_shell,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,label
48.22,tcp,telnet,SF,2465,6777,0,0,6,0,2,1,1,1,0.0,0.0,1.0,0.0,U2R
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,429,25,0.91,0.04,0.2,0.1,DoS
1.103,tcp,smtp,SF,1490,1198,0,0,0,0,0,0,2,5,0.02,0.03,0.96,0.05,normal
0.878,tcp,http,SF,1001,4758,0,0,0,0,0,0,12,3,0.01,0.03,0.87,0.02,normal
0.97,tcp,http,SF,253,5472,0,0,0,0,0,0,7,9,0.02,0.03,0.9,0.03,normal
11.78,tcp,ftp,SF,145,439,0,0,4,5,0,0,4,4,0.0,0.0,1.0,0.0,R2L
0.279,tcp,dns,SF,521,730,0,0,0,0,0,0,8,3,0.01,0.03,0.96,0.01,normal
0.044,icmp,private,RSTO,89,0,0,0,0,0,0,0,98,2,0.05,0.58,0.07,0.75,Probe
0.429,tcp,http,SF,1664,4291,0,0,0,0,0,0,6,6,0.04,0.03,0.93,0.02,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,297,24,0.96,0.09,0.18,0.06,DoS
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,455,11,0.87,0.08,0.12,0.16,DoS
0.329,tcp,smtp,SF,200,6475,0,0,0,0,0,0,1,4,0.0,0.02,0.93,0.07,normal
0.922,tcp,smtp,SF,710,5012,0,0,0,0,0,0,9,3,0.04,0.01,0.86,0.08,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,199,15,0.92,0.07,0.05,0.07,DoS
0.746,tcp,http,SF,789,6086,0,0,0,0,0,0,3,2,0.04,0.04,0.85,0.02,normal
0.772,tcp,smtp,SF,1430,4656,0,0,0,0,0,0,12,3,0.02,0.05,0.87,0.13,normal
0.395,tcp,http,SF,726,5838,0,0,0,0,0,0,3,2,0.04,0.0,0.85,0.15,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,204,25,0.93,0.01,0.14,0.14,DoS
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,397,12,0.99,0.09,0.14,0.16,DoS
1.117,tcp,http,SF,196,6660,0,0,0,0,0,0,5,8,0.05,0.01,0.85,0.0,normal
0.905,tcp,http,SF,687,1274,0,0,0,0,0,0,8,10,0.04,0.01,0.92,0.01,normal
61.89,tcp,ssh,SF,4316,6773,0,0,0,0,0,0,1,2,0.0,0.0,1.0,0.0,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,460,18,0.94,0.02,0.19,0.11,DoS
0.116,tcp,http,SF,1680,4935,0,0,0,0,0,0,10,9,0.02,0.0,0.99,0.13,normal
0.993,tcp,http,SF,1374,1753,0,0,0,0,0,0,10,1,0.02,0.05,0.85,0.05,normal
0.88,tcp,http,SF,1725,4024,0,0,0,0,0,0,5,10,0.03,0.03,0.87,0.03,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,383,23,0.94,0.07,0.2,0.17,DoS
93.06,tcp,ssh,SF,8939,33423,0,0,0,0,0,0,3,1,0.0,0.0,1.0,0.0,normal
0.899,tcp,http,SF,307,2464,0,0,0,0,0,0,11,10,0.0,0.01,0.95,0.0,normal
25.93,tcp,ssh,SF,1510,34212,0,0,0,0,0,0,1,2,0.0,0.0,1.0,0.0,normal
0.227,tcp,smtp,SF,721,1201,0,0,0,0,0,0,8,9,0.04,0.04,0.94,0.11,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,367,16,0.92,0.05,0.07,0.11,DoS
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,164,18,0.99,0.01,0.18,0.1,DoS
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,348,14,0.93,0.01,0.12,0.11,DoS
1.048,tcp,http,SF,625,8083,0,0,0,0,0,0,11,4,0.02,0.01,0.95,0.0,normal
117.43,tcp,ssh,SF,2979,2701,0,0,0,0,0,0,3,2,0.0,0.0,1.0,0.0,normal
0.338,tcp,dns,SF,1477,5595,0,0,0,0,0,0,8,3,0.04,0.02,0.89,0.1,normal
0.717,tcp,http,SF,1173,6999,0,0,0,0,0,0,5,4,0.04,0.02,0.9,0.13,normal
0.061,tcp,dns,SF,602,6778,0,0,0,0,0,0,11,7,0.03,0.05,0.92,0.05,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,360,20,0.88,0.05,0.16,0.17,DoS
